"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"ePMAQnkUp1MXIwvgeZPuSK+TOyAQbfbGGhgV3WPSXI=","ePMAQnkUp1MXIwvgeZPuSK+TOyAQbfbGGhgV3WPSXI=","ePMAQnkUp1MXIwvgeZPuSK+TOyAQbfbGGhgV3WPSXI=","","","","0","0","2018-11-12","en"
"YIW3cZTMayg6718cgq64PocIcakBDAjzJEyIzdhxrQ=","YIW3cZTMayg6718cgq64PocIcakBDAjzJEyIzdhxrQ=","YIW3cZTMayg6718cgq64PocIcakBDAjzJEyIzdhxrQ=","","لا احد يجب ان يبقى فترة طويلة بحياتك بدون ان يكون متفائلا ☺☺,🇲🇦🇲🇦🇲🇦","","56","125","2018-12-04","en"
"RGTopq7W3hCuFrCsB8mwB+hzLGHLcV8U0bdEkVfmKg=","RGTopq7W3hCuFrCsB8mwB+hzLGHLcV8U0bdEkVfmKg=","RGTopq7W3hCuFrCsB8mwB+hzLGHLcV8U0bdEkVfmKg=","Sudan","#سودانية 💪🇸🇩❤️","","613","393","2018-12-06","en"
"jOTjx7dj1RkvmCYaXk7msLxqs+6xI0xNuQzAKhLfviM=","jOTjx7dj1RkvmCYaXk7msLxqs+6xI0xNuQzAKhLfviM=","jOTjx7dj1RkvmCYaXk7msLxqs+6xI0xNuQzAKhLfviM=","Abu Dhabi","في بعض الأحيان نتعمد ان .!
نفهم بعض الأمور خطأ ، لأن صحيحها مؤلم جدًا ..!
😍😄","","2","28","2018-12-17","fr"
"slLvrvE0N0ymF+CWLmUC+kEgcyUu+r490N9mgIMr38=","slLvrvE0N0ymF+CWLmUC+kEgcyUu+r490N9mgIMr38=","slLvrvE0N0ymF+CWLmUC+kEgcyUu+r490N9mgIMr38=","Ajman, United Arab Emirates","وإن اصابك حزنٌ  تفائل بأن من جعل للحزن سببآ جعل للفرح أسبابًا ﴿فإن مع العسر يسرًا﴾.","","14","45","2018-12-17","fr"
"hrL8c412qHsPTgNiDK+nt2wVI0UT8U+N2J0n89Ouac=","hrL8c412qHsPTgNiDK+nt2wVI0UT8U+N2J0n89Ouac=","hrL8c412qHsPTgNiDK+nt2wVI0UT8U+N2J0n89Ouac=","الشحر","تغريداتى تناسب فكرى فقط !  💙","","0","20","2019-01-20","en"
"WvQzUf0mIeLINrcCAferVKXvsdRtOJxeI5qD8v1fB3g=","WvQzUf0mIeLINrcCAferVKXvsdRtOJxeI5qD8v1fB3g=","WvQzUf0mIeLINrcCAferVKXvsdRtOJxeI5qD8v1fB3g=","Malaysia","Marketing 👥.. Fashion💅","","7","59","2019-02-02","en"
"dnhS5GvVCeF0V8tRr2UuPDKl5FyJTOx8sXktHgahOc=","dnhS5GvVCeF0V8tRr2UuPDKl5FyJTOx8sXktHgahOc=","dnhS5GvVCeF0V8tRr2UuPDKl5FyJTOx8sXktHgahOc=","","","","32","56","2018-06-19","en"
"86vxbzDhoiyySg3kc594g+wgmPoB7I3yPHt2ER8Yw=","86vxbzDhoiyySg3kc594g+wgmPoB7I3yPHt2ER8Yw=","86vxbzDhoiyySg3kc594g+wgmPoB7I3yPHt2ER8Yw=","","","","0","2","2018-08-26","en"
"2b841chjkigd1XKlTBs3Pjnt1qpRK324QbZRFjKlOI=","2b841chjkigd1XKlTBs3Pjnt1qpRK324QbZRFjKlOI=","2b841chjkigd1XKlTBs3Pjnt1qpRK324QbZRFjKlOI=","","","","20","21","2018-09-06","en"
"xy1qIMWA4sjT+v0imATb6zAG6JdfTynY7xAxeXaVZYY=","xy1qIMWA4sjT+v0imATb6zAG6JdfTynY7xAxeXaVZYY=","xy1qIMWA4sjT+v0imATb6zAG6JdfTynY7xAxeXaVZYY=","Recife, Brazil","Magia é acreditar em si mesmo! 🙏✨💗","https://t.co/KUhfii9Pq9","17","66","2018-11-06","en"
"ClJpCsojKJwIh5OuK0dD0heUp2deyoho9kBPbzxBjIg=","ClJpCsojKJwIh5OuK0dD0heUp2deyoho9kBPbzxBjIg=","ClJpCsojKJwIh5OuK0dD0heUp2deyoho9kBPbzxBjIg=","","","","0","3","2018-12-05","en"
"swDVMS3K1RXjA0zdqm7fprOPBrYoDi6hmFzHZhUcubA=","swDVMS3K1RXjA0zdqm7fprOPBrYoDi6hmFzHZhUcubA=","swDVMS3K1RXjA0zdqm7fprOPBrYoDi6hmFzHZhUcubA=","Nice, France","Ambitieux , S'Amusant , Comique, Dingue 🤔","","24","183","2018-12-26","en"
"4QbePfzElOl7X76OpfJ0FYW9mAE11SZf+LSum60a0mU=","4QbePfzElOl7X76OpfJ0FYW9mAE11SZf+LSum60a0mU=","4QbePfzElOl7X76OpfJ0FYW9mAE11SZf+LSum60a0mU=","","🇦🇪🇦🇪فخرنا #اماراتنا","","49","88","2019-01-20","en"
"2OV8QSNeXXXRY+c6cYj71VHzS4viwrQ9NkheZOQwfI=","2OV8QSNeXXXRY+c6cYj71VHzS4viwrQ9NkheZOQwfI=","2OV8QSNeXXXRY+c6cYj71VHzS4viwrQ9NkheZOQwfI=","","اعشق علي عبد الله صالح","","2","0","2019-01-31","en"
"6MYfZdw4TGMc1qfSj413IthK+2B94qpsfROEDTNNMZs=","6MYfZdw4TGMc1qfSj413IthK+2B94qpsfROEDTNNMZs=","6MYfZdw4TGMc1qfSj413IthK+2B94qpsfROEDTNNMZs=","Yemen","Yemeni journalist at DN 
#Anti_militias_of_houthi","","213","115","2018-09-05","en"
"P00LaITJ+ulhEn3RRTUKR+erPbQRC8MTAzEMgOaLA=","P00LaITJ+ulhEn3RRTUKR+erPbQRC8MTAzEMgOaLA=","P00LaITJ+ulhEn3RRTUKR+erPbQRC8MTAzEMgOaLA=","سلطنة عمان","‏‏الشي يالى يسقط منى مابرجع اخدا","","33","45","2018-09-08","ar"
"vm6tv3Wr7r7J9y8g1yImN0fddmz+w5tmnDx37hDtVMo=","vm6tv3Wr7r7J9y8g1yImN0fddmz+w5tmnDx37hDtVMo=","vm6tv3Wr7r7J9y8g1yImN0fddmz+w5tmnDx37hDtVMo=","United States","After a hurricane, Comes a rainbow 🌈","","5","46","2018-11-02","en"
"0lhmQER6Q8K69vWWdWLLGHbBr54d35qcu8q3QRNjSaQ=","0lhmQER6Q8K69vWWdWLLGHbBr54d35qcu8q3QRNjSaQ=","0lhmQER6Q8K69vWWdWLLGHbBr54d35qcu8q3QRNjSaQ=","","يفتشون عن أخطاء الآخرين وكأنهم يبحثون عن كنز، عقول تستحق الشفقة 😕 🇦🇪👸","","199","397","2018-12-04","en"
"d0ujrB+NO3JjsfC3WR1jwPBylDkinFr+EoSwFh84roo=","d0ujrB+NO3JjsfC3WR1jwPBylDkinFr+EoSwFh84roo=","d0ujrB+NO3JjsfC3WR1jwPBylDkinFr+EoSwFh84roo=","","","","0","0","2018-12-19","en"
"VGIEHpl8FTlcOX0m1YSkODCibVWPu5zPK9gUqORelOI=","VGIEHpl8FTlcOX0m1YSkODCibVWPu5zPK9gUqORelOI=","VGIEHpl8FTlcOX0m1YSkODCibVWPu5zPK9gUqORelOI=","","mazen here","","0","7","2019-01-17","en"
"l5RDIUHbnk6PRHZ6Z0keRWFyHXmMdtOD06d9vDkS1Kg=","l5RDIUHbnk6PRHZ6Z0keRWFyHXmMdtOD06d9vDkS1Kg=","l5RDIUHbnk6PRHZ6Z0keRWFyHXmMdtOD06d9vDkS1Kg=","","","","5","2","2019-03-25","ar"
"WN5VP4+scZDfTJQaPzhsrV63G4DwyBGsLob4vgIcrNU=","WN5VP4+scZDfTJQaPzhsrV63G4DwyBGsLob4vgIcrNU=","WN5VP4+scZDfTJQaPzhsrV63G4DwyBGsLob4vgIcrNU=","","الثانوية بنين","","140","345","2018-08-23","ar"
"XXiCg6RDksRgSwv019MmufzolK3454gu3eN5iY7Lx0=","XXiCg6RDksRgSwv019MmufzolK3454gu3eN5iY7Lx0=","XXiCg6RDksRgSwv019MmufzolK3454gu3eN5iY7Lx0=","France","Vous allez trouver toutes les actualités de la France ici. Suivez notre compte sur instagram @Salutfrr et notre page sur FB @Salutfrr","","62","107","2018-08-26","en"
"l1VoQuwH71NmK28ing6pXqaSQiRdVev2rPuWYXTto=","l1VoQuwH71NmK28ing6pXqaSQiRdVev2rPuWYXTto=","l1VoQuwH71NmK28ing6pXqaSQiRdVev2rPuWYXTto=","United Kingdom","My hobbies are breakfast, lunch, and dinner.","","221","278","2018-12-03","en"
"ywZhp8Myk3Di+7lnAF9JuoOIIzg83lfgkazs1SCctMQ=","ywZhp8Myk3Di+7lnAF9JuoOIIzg83lfgkazs1SCctMQ=","ywZhp8Myk3Di+7lnAF9JuoOIIzg83lfgkazs1SCctMQ=","Qatar","‏لا داعي للخوف من صوت الرصاص فالرصاصة التي تقتلك لن تسمع صوتها","","50","228","2018-12-23","en"
"R2jWHajlCnpbvTKnr2yhFhGPfiEy7r68xJd12nNJ6J4=","R2jWHajlCnpbvTKnr2yhFhGPfiEy7r68xJd12nNJ6J4=","R2jWHajlCnpbvTKnr2yhFhGPfiEy7r68xJd12nNJ6J4=","","عشقت ذنوبي عندما رأيت إيمانكم المزيّف","","12","20","2018-12-24","en"
"FILzMzI4zkDc3UWqyMkrsIiBH2jzelH9gB1UusWNt9k=","FILzMzI4zkDc3UWqyMkrsIiBH2jzelH9gB1UusWNt9k=","FILzMzI4zkDc3UWqyMkrsIiBH2jzelH9gB1UusWNt9k=","United Kingdom","Acts like summer & walks like rain 🌧️","","360","488","2018-12-03","en"
"lY3HxPbNujzfgJykYNNs5G1VgQfLJ5kFMe2imMjUyA0=","lY3HxPbNujzfgJykYNNs5G1VgQfLJ5kFMe2imMjUyA0=","lY3HxPbNujzfgJykYNNs5G1VgQfLJ5kFMe2imMjUyA0=","New York, USA","♍️ Broadcast Journalist/Community Relations Director🖕🏽💣.","","47","355","2017-12-31","en"
"tP7AuzvkKTdrmFfVvobzvYpHe+y1YVRVFfu9NFIdj4=","tP7AuzvkKTdrmFfVvobzvYpHe+y1YVRVFfu9NFIdj4=","tP7AuzvkKTdrmFfVvobzvYpHe+y1YVRVFfu9NFIdj4=","Qatar","Our glory, our pride, our nation story must be told 🇶🇦","","101","429","2018-04-27","en"
"S+3Pguh+DJjpX0R3bEgxluXZR2y3lY5CkWnMWN9IvcY=","S+3Pguh+DJjpX0R3bEgxluXZR2y3lY5CkWnMWN9IvcY=","S+3Pguh+DJjpX0R3bEgxluXZR2y3lY5CkWnMWN9IvcY=","Cairo, Egypt","Dream with me❤️","","0","0","2018-05-21","en"
"HXJexyJ5cmqLAz3wwFTvkFfkYVGvuLx4Rf8ZsGp9x0=","HXJexyJ5cmqLAz3wwFTvkFfkYVGvuLx4Rf8ZsGp9x0=","HXJexyJ5cmqLAz3wwFTvkFfkYVGvuLx4Rf8ZsGp9x0=","","","","0","51","2018-06-04","en"
"4L0i17vuLAK8v70X0USzrT+23l+3EeKi4jTUjTvcAEE=","4L0i17vuLAK8v70X0USzrT+23l+3EeKi4jTUjTvcAEE=","4L0i17vuLAK8v70X0USzrT+23l+3EeKi4jTUjTvcAEE=","Tunisia","I am what I am 🤷‍♂️| Soccer freak ⚽⚽| Arsenal ❤️ | Tunisian 🇹🇳🇹🇳","","78","209","2018-08-22","en"
"7+kjA3YTQ8r2rfTkrngzWyoUmwGow5e+NLOziXsw=","7+kjA3YTQ8r2rfTkrngzWyoUmwGow5e+NLOziXsw=","7+kjA3YTQ8r2rfTkrngzWyoUmwGow5e+NLOziXsw=","","","","19","52","2018-09-05","en"
"TEG1KzvGV3L5VpMEDMAcHjT6LgOulGQ+J7K6SAypo=","TEG1KzvGV3L5VpMEDMAcHjT6LgOulGQ+J7K6SAypo=","TEG1KzvGV3L5VpMEDMAcHjT6LgOulGQ+J7K6SAypo=","","","","1","18","2017-02-07","ar"
"SYJTLwulq9mBNQIX9+DoA4Yd064OQ+kiyf1FWS8E2XY=","SYJTLwulq9mBNQIX9+DoA4Yd064OQ+kiyf1FWS8E2XY=","SYJTLwulq9mBNQIX9+DoA4Yd064OQ+kiyf1FWS8E2XY=","","","","16","23","2018-07-31","en"
"fUTU+mMEETcbQjuVtxM0SYIeh44HZkPEVMp69dE0VE=","fUTU+mMEETcbQjuVtxM0SYIeh44HZkPEVMp69dE0VE=","fUTU+mMEETcbQjuVtxM0SYIeh44HZkPEVMp69dE0VE=","","لو كاانت لي دولة لجعلت ضحكه أمي نشيداً لها","","142","112","2018-12-04","en"
"smbxwDsXFz+9DohkvAlis1ajnhShVZ4du+PnipjumOo=","smbxwDsXFz+9DohkvAlis1ajnhShVZ4du+PnipjumOo=","smbxwDsXFz+9DohkvAlis1ajnhShVZ4du+PnipjumOo=","Alexandria, Egypt","","","91","535","2018-06-02","en"
"4wxi8GyRe+7Cj1yCMDluSJDOu5cns5pi6N5KrK1Ges8=","4wxi8GyRe+7Cj1yCMDluSJDOu5cns5pi6N5KrK1Ges8=","4wxi8GyRe+7Cj1yCMDluSJDOu5cns5pi6N5KrK1Ges8=","","","","0","39","2018-09-06","en"
"qfHBuxRaAcTotVUQi1d7cvFwO5L7ilzUVlM1LMdyCg=","qfHBuxRaAcTotVUQi1d7cvFwO5L7ilzUVlM1LMdyCg=","qfHBuxRaAcTotVUQi1d7cvFwO5L7ilzUVlM1LMdyCg=","United Kingdom","Stop thinking and start doing, Now 🙏","","11","45","2018-11-03","en"
"HWWVwC7nRZ9qDy32BHR9NwdKaVzwr8L0rnuVlMfRCdk=","HWWVwC7nRZ9qDy32BHR9NwdKaVzwr8L0rnuVlMfRCdk=","HWWVwC7nRZ9qDy32BHR9NwdKaVzwr8L0rnuVlMfRCdk=","Yemen","‏لو سكت من لا يدري، لقلّ الخلاف بين الخَلق .","","150","382","2018-12-05","en"
"LqsxTwk7pTpDvKHcMiZwe0mupNMkbJI2UQ3oV4Ms0l4=","LqsxTwk7pTpDvKHcMiZwe0mupNMkbJI2UQ3oV4Ms0l4=","LqsxTwk7pTpDvKHcMiZwe0mupNMkbJI2UQ3oV4Ms0l4=","حضرموت","بلادى بلاد الحب والحرب كانت سعيدة والأن تتسم بالتعاسة","","0","6","2019-01-24","en"
"eF0UpbtjPU63fi+UfKeWzNAnJveIP4xW7wvp1x1A1w=","eF0UpbtjPU63fi+UfKeWzNAnJveIP4xW7wvp1x1A1w=","eF0UpbtjPU63fi+UfKeWzNAnJveIP4xW7wvp1x1A1w=","Yemen","‏‏بعُمري مَ إتمنيت حآجةه بكثر مآ تمنيتك💜🎞","","69","29","2019-01-26","en"
"P0ifHqXZZIPywI360tCpCmYRICpD0js+fOip5mmRpw=","P0ifHqXZZIPywI360tCpCmYRICpD0js+fOip5mmRpw=","P0ifHqXZZIPywI360tCpCmYRICpD0js+fOip5mmRpw=","","","","1","16","2018-03-22","en"
"mXQKWFo73vrkZCf5R9Oc0oUFuFwIKEVvX7VpxlA1U=","mXQKWFo73vrkZCf5R9Oc0oUFuFwIKEVvX7VpxlA1U=","mXQKWFo73vrkZCf5R9Oc0oUFuFwIKEVvX7VpxlA1U=","","🖤🖤","","49","106","2018-11-22","en"
"NQrUh8FfHRf+EzytKNRj1ESw3UAOmC0mmYYeuA4Pf8=","NQrUh8FfHRf+EzytKNRj1ESw3UAOmC0mmYYeuA4Pf8=","NQrUh8FfHRf+EzytKNRj1ESw3UAOmC0mmYYeuA4Pf8=","","Oussama Makhlofi","","136","355","2018-12-05","en"
"UVLRrRxjqLMfVAfxyV12uW8JVKXYjPYKEukIOl+dQv0=","UVLRrRxjqLMfVAfxyV12uW8JVKXYjPYKEukIOl+dQv0=","UVLRrRxjqLMfVAfxyV12uW8JVKXYjPYKEukIOl+dQv0=","Yemen","‏‏‏ﻓﻲ ﻭﻃﻨﻲ ﺗﻤﻮﺕ🇾🇪🇾🇪 ﺍﻷ‌ﻣﻨﻴﺎﺕ ﻭﺗﺪﻓﻦ ﺍﻷ‌ﺣﻼ‌ﻡ ﻋﻠﻰ ﻗﻴﺪ ﺍﻟﺤﻴﺂﻩ💔! ‎‎‎#هويه_اليمن ‎‎#تابعني_اتابعك","","627","885","2018-12-05","en"
"5EaCsKPev1QLRH8i325YwIqk6YIJyowzvsgUPz88=","5EaCsKPev1QLRH8i325YwIqk6YIJyowzvsgUPz88=","5EaCsKPev1QLRH8i325YwIqk6YIJyowzvsgUPz88=","","that’s me","","47","66","2019-03-15","en"
"5loC8Cm2ngMPv776jK3TuvM3b9wv1cuVuWZcECaFfds=","5loC8Cm2ngMPv776jK3TuvM3b9wv1cuVuWZcECaFfds=","5loC8Cm2ngMPv776jK3TuvM3b9wv1cuVuWZcECaFfds=","","كن مع الله","","2","52","2018-09-04","ar"
"78QgJVd3FArLQ+xKji0Rxxpzn3y1rYe7yznjm+hRU=","78QgJVd3FArLQ+xKji0Rxxpzn3y1rYe7yznjm+hRU=","78QgJVd3FArLQ+xKji0Rxxpzn3y1rYe7yznjm+hRU=","","Me encanta el invierno y el chocolate caliente. Me molestan las personas egocéntricas y demasiado extrovertidas.","","214","205","2018-12-04","en"
"kNC8YdITzkqGr9WohkyHkz7fWZy7z3iYLRccahBuM1g=","kNC8YdITzkqGr9WohkyHkz7fWZy7z3iYLRccahBuM1g=","kNC8YdITzkqGr9WohkyHkz7fWZy7z3iYLRccahBuM1g=","","La sincerità è un pregio, non un difetto .La vita e' una, molti non lo sanno.","","174","410","2018-12-04","en"
"oKuNONAKvT5dpt5gI3un673KZHtjpa9okjXVyiWenTU=","oKuNONAKvT5dpt5gI3un673KZHtjpa9okjXVyiWenTU=","oKuNONAKvT5dpt5gI3un673KZHtjpa9okjXVyiWenTU=","Yemen","‏‏‏‏علمني وطني ان دماء الشهداء هي من ترسم حدود الوطن رحم الله شهداء ‎‎‎‎#اليمن🇾🇪🇾🇪
follow back 
‎#تابعني ‎#اتابعك","","501","177","2018-12-05","en"
"Xc+AONeHmfjzwivo8WTICq4OhNl8e7PmXKveHBSchok=","Xc+AONeHmfjzwivo8WTICq4OhNl8e7PmXKveHBSchok=","Xc+AONeHmfjzwivo8WTICq4OhNl8e7PmXKveHBSchok=","","","","0","0","2018-11-13","en"
"8mGQArO204vyFAk8noV+TXNuzqrdf9ytcxweqzeT51Q=","8mGQArO204vyFAk8noV+TXNuzqrdf9ytcxweqzeT51Q=","8mGQArO204vyFAk8noV+TXNuzqrdf9ytcxweqzeT51Q=","Tunisia","Le plus important ce n'est pas la façon dont on prend, mais la façon dont on se relève 👐 | Hala Madrid ⚽⚽| Tunisian 🇹🇳","","21","134","2018-08-21","en"
"BsVh+6hSuSoGxbGbaWBulWgEIDidenKjcTXSyYXQnAE=","BsVh+6hSuSoGxbGbaWBulWgEIDidenKjcTXSyYXQnAE=","BsVh+6hSuSoGxbGbaWBulWgEIDidenKjcTXSyYXQnAE=","","يكفيني فخرا اني لليمن انتمي 😍😍","","398","935","2018-09-12","en"
"4gk6m9KjRhOrjrFL6dAiwPQNayA+g+Dw0rmU30uswOY=","4gk6m9KjRhOrjrFL6dAiwPQNayA+g+Dw0rmU30uswOY=","4gk6m9KjRhOrjrFL6dAiwPQNayA+g+Dw0rmU30uswOY=","Tunisia","Tunisia/ Leo/ كن لنفسك كل شئ","","493","985","2018-12-04","en"
"ATcb3OaY11jv9HrAuN4JFl9sQTeSQ4e3jqt01Qgebew=","ATcb3OaY11jv9HrAuN4JFl9sQTeSQ4e3jqt01Qgebew=","ATcb3OaY11jv9HrAuN4JFl9sQTeSQ4e3jqt01Qgebew=","","🐱 I love cats 🐱","","17","82","2019-01-20","en"
"9pi1kQh7P31RT3lnTjldX6yfrB1+AC8LKJltSkbeXw=","9pi1kQh7P31RT3lnTjldX6yfrB1+AC8LKJltSkbeXw=","9pi1kQh7P31RT3lnTjldX6yfrB1+AC8LKJltSkbeXw=","Yemen","Yemeni citizen proud of Yemen and its people ❤️🇾🇪","","21","171","2018-09-15","en"
"1bY+Q6Y5pIzeqnE6TTyReKZKAAlc2MvqV6W0KQnTqC0=","1bY+Q6Y5pIzeqnE6TTyReKZKAAlc2MvqV6W0KQnTqC0=","1bY+Q6Y5pIzeqnE6TTyReKZKAAlc2MvqV6W0KQnTqC0=","","","","0","1","2018-09-23","en"
"uPfBHz9rdXZWRsAy5QkrEyVX1a2fwnpzVQWFrk2zi4Q=","uPfBHz9rdXZWRsAy5QkrEyVX1a2fwnpzVQWFrk2zi4Q=","uPfBHz9rdXZWRsAy5QkrEyVX1a2fwnpzVQWFrk2zi4Q=","Yemen","علم البلا ما يختفيش","","141","254","2018-12-04","en"
"MXEjihkI1AGapxrxrXUO1zKCJyUbqrAP63gyliKd8=","MXEjihkI1AGapxrxrXUO1zKCJyUbqrAP63gyliKd8=","MXEjihkI1AGapxrxrXUO1zKCJyUbqrAP63gyliKd8=","اليمن","ازعم انى أتكلم بقلبي فقط ❤️","","0","5","2019-01-20","en"
"+1sPxGySpAArc95Q43NYZUEB8SGB1467i2A9A64m1Q4=","+1sPxGySpAArc95Q43NYZUEB8SGB1467i2A9A64m1Q4=","+1sPxGySpAArc95Q43NYZUEB8SGB1467i2A9A64m1Q4=","","","","0","0","2016-12-27","en"
"x63luI8bqZr3J1BDbzJx7L8JieK9XnpZA+jjR7TJZc=","x63luI8bqZr3J1BDbzJx7L8JieK9XnpZA+jjR7TJZc=","x63luI8bqZr3J1BDbzJx7L8JieK9XnpZA+jjR7TJZc=","","","","0","46","2018-06-04","en"
"wJOlzgfEhz0S2dFV2DEUk81R7x1q9qh3sHUAamd0BwE=","wJOlzgfEhz0S2dFV2DEUk81R7x1q9qh3sHUAamd0BwE=","wJOlzgfEhz0S2dFV2DEUk81R7x1q9qh3sHUAamd0BwE=","Yemen","هذا العالم يسحق العدل بقدر حقارة كل يوم . 🇾🇪","","267","208","2018-08-24","en"
"e7kK23edkxZnRiLLzChEn90oDvBCCeV4rFmZvqjNhFI=","e7kK23edkxZnRiLLzChEn90oDvBCCeV4rFmZvqjNhFI=","e7kK23edkxZnRiLLzChEn90oDvBCCeV4rFmZvqjNhFI=","Denmark, New Brunswick","Politik, Klima/ Natur, Samfundsforhold, Kunst;...Litteratur, Film, Humor, Musik og meget andet...
Ekspert i frivillighed og konsulent @Ingerfair Tidl.","","1","0","2018-12-13","en"
"TJu7u3gzDPeUVpVJR7kdHZDxE5mCGNrwdyWWQCsaSPc=","TJu7u3gzDPeUVpVJR7kdHZDxE5mCGNrwdyWWQCsaSPc=","TJu7u3gzDPeUVpVJR7kdHZDxE5mCGNrwdyWWQCsaSPc=","شبام","‏‏‏‏‏‏‏في لحظةٍ ما .. بومضةٍ من الزمن ، قد يتغير كل هذا الذي نظنه لن يتغير . . ‎‎‎‎‎‎‎#هويه_اليمن ​🇾🇪❤
‎‎‎‎#تابعني ‎‎‎‎#اتابعك
‎‎‎‎‎#follow ‎‎‎‎‎#back","","23","42","2019-01-19","en"
"zpnp8fwzH32AxEgGZ4lORog0npwZsrvR8HwHbILoW84=","zpnp8fwzH32AxEgGZ4lORog0npwZsrvR8HwHbILoW84=","zpnp8fwzH32AxEgGZ4lORog0npwZsrvR8HwHbILoW84=","Yemen","","","249","544","2018-03-10","en"
"tie7KDbyHDwqzZ0FzTRHXlrwlNqJPvbDHknAScoj0EM=","tie7KDbyHDwqzZ0FzTRHXlrwlNqJPvbDHknAScoj0EM=","tie7KDbyHDwqzZ0FzTRHXlrwlNqJPvbDHknAScoj0EM=","","‏ملعون ابو الناس العزاز","","7","5","2018-10-01","ar"
"NdQnTvfN9hxjGpjBYgNkQayZTNn1Wz3Te8fMpWe76Xo=","NdQnTvfN9hxjGpjBYgNkQayZTNn1Wz3Te8fMpWe76Xo=","NdQnTvfN9hxjGpjBYgNkQayZTNn1Wz3Te8fMpWe76Xo=","","","","133","551","2018-11-09","en"
"7M7Ufuvh4vWRkvI4Av8tTMyotZwsAdhxL4xcKmHkAk=","7M7Ufuvh4vWRkvI4Av8tTMyotZwsAdhxL4xcKmHkAk=","7M7Ufuvh4vWRkvI4Av8tTMyotZwsAdhxL4xcKmHkAk=","Yemen","لا تحتاج الحقيقة لأخذ ملابس من الكذب 
#اليمن ❤️💪#الحريه_لليمن #الحوثي_قاتل😡","","399","721","2018-03-13","en"
"Fmnb9bk8fnjCqgD+zeefwms4jOxhllrXMviL9MKSxtw=","Fmnb9bk8fnjCqgD+zeefwms4jOxhllrXMviL9MKSxtw=","Fmnb9bk8fnjCqgD+zeefwms4jOxhllrXMviL9MKSxtw=","Саратов, Россия","Я не ботан, но иногда ношу очки 😬😁","","2189","1201","2018-03-21","en"
"uMj0WJPKsIqpKqgvzC8iuc3gMmLXkB9SwKgvAlsUv1c=","uMj0WJPKsIqpKqgvzC8iuc3gMmLXkB9SwKgvAlsUv1c=","uMj0WJPKsIqpKqgvzC8iuc3gMmLXkB9SwKgvAlsUv1c=","Israel","הגישה שלך, לא הכישרון שלך, תקבע כמה גבוה אתה תגיע😊👍😉✌️🎶👌","","203","1755","2018-03-21","en"
"ilfXqHYvStI12QJZXRX63v6eoegSTvqJ8IkVInZju7w=","ilfXqHYvStI12QJZXRX63v6eoegSTvqJ8IkVInZju7w=","ilfXqHYvStI12QJZXRX63v6eoegSTvqJ8IkVInZju7w=","","The surest way to lose sight of who you are is to constantly compare yourself to others 👌","","9","23","2018-12-08","en"
"J+aK72a5LLvS9SaPwGHAV2xEGhf9F5FcmG1Crp4zeI=","J+aK72a5LLvS9SaPwGHAV2xEGhf9F5FcmG1Crp4zeI=","J+aK72a5LLvS9SaPwGHAV2xEGhf9F5FcmG1Crp4zeI=","","","","0","0","2019-02-01","en"
"3VzhR9l4RTd0h3Nro1iurhNLkoMFSyRlFzHgk0BQ3L0=","3VzhR9l4RTd0h3Nro1iurhNLkoMFSyRlFzHgk0BQ3L0=","3VzhR9l4RTd0h3Nro1iurhNLkoMFSyRlFzHgk0BQ3L0=","","","","0","0","2018-11-13","en"
"WKfeDsBW4XirTHrTVU8bEQBxevwkWYHW9nyJDZU=","WKfeDsBW4XirTHrTVU8bEQBxevwkWYHW9nyJDZU=","WKfeDsBW4XirTHrTVU8bEQBxevwkWYHW9nyJDZU=","","","","18","22","2018-12-01","en"
"wbwlR5fhTSdPDkO3Bg4KKOtCN84D0lBhstYMpc4tb3A=","wbwlR5fhTSdPDkO3Bg4KKOtCN84D0lBhstYMpc4tb3A=","wbwlR5fhTSdPDkO3Bg4KKOtCN84D0lBhstYMpc4tb3A=","Tunisia","Beautiful things don't ask for attention/ tunisianne et fiere","","292","784","2018-12-04","en"
"c7OOJVaYo2yS2A+hs2TwUzWpp1oIYizlT8vvmOR+bI=","c7OOJVaYo2yS2A+hs2TwUzWpp1oIYizlT8vvmOR+bI=","c7OOJVaYo2yS2A+hs2TwUzWpp1oIYizlT8vvmOR+bI=","Yemen","‏رأيي لا قيمة له طالما ليس مع موطني الحبيب.. أكره الحوثي المجرم","","562","1696","2018-03-09","en"
"wHvoLQ60+TB3g1eUTUuSyQvPg2BiScBYV39NJNv9M44=","wHvoLQ60+TB3g1eUTUuSyQvPg2BiScBYV39NJNv9M44=","wHvoLQ60+TB3g1eUTUuSyQvPg2BiScBYV39NJNv9M44=","","","","19","79","2018-10-27","en"
"+gGQF579oBIUKTv256JpeJOneVdks63Hp6FPQAars=","+gGQF579oBIUKTv256JpeJOneVdks63Hp6FPQAars=","+gGQF579oBIUKTv256JpeJOneVdks63Hp6FPQAars=","","","","62","91","2018-11-21","en"
"wLzurNuxY+m+7GbjKD21ONvtlLMY+4spRNLBurRD4=","wLzurNuxY+m+7GbjKD21ONvtlLMY+4spRNLBurRD4=","wLzurNuxY+m+7GbjKD21ONvtlLMY+4spRNLBurRD4=","Poland, OH","Idę na jasełka do 5 letniego brzdąca 🎅🎄🎅

#dumnam","","1","2","2018-12-13","ar"
